ConvertedCompYearly,YearsCodePro,Country,EdLevel,DevType,Employment,Year
6636.0,1,Philippines,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
73188.0,4,Switzerland,"Associate degree (A.A., A.S., etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end",Employed full-time,2021
20688.0,13,Mexico,"Professional degree (JD, MD, etc.)","Developer, full-stack;Database administrator",Employed full-time,2021
752364.0,7,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,Employed full-time,2021
41772.0,2,Bulgaria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):,Employed full-time,2021
100000.0,30,United States of America,"Other doctoral degree (Ph.D., Ed.D., etc.)","Developer, mobile;Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;Academic researcher;Developer, embedded applications or devices;System administrator;Educator",Employed full-time,2021
39600.0,4,Kenya,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Designer",Employed full-time,2021
14580.0,5,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;DevOps specialist",Employed full-time,2021
50411.0,33,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;System administrator;Senior Executive (C-Suite, VP, etc.)",Employed full-time,2021
3156.0,5,Romania,Some college/university study without earning a degree,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, QA or test;Developer, embedded applications or devices",Employed full-time,2021
28416.0,2,Trinidad and Tobago,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Other (please specify):",Employed full-time,2021
40872.0,20,Argentina,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications;Developer, full-stack;DevOps specialist",Employed full-time,2021
25944.0,7,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;System administrator",Employed full-time,2021
41385.0,2,Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;System administrator",Employed full-time,2021
8688.0,1,Honduras,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, back-end",Employed full-time,2021
38916.0,2,Finland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed part-time,2021
70320.0,6,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",Employed full-time,2021
157000.0,14,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Engineering manager",Employed full-time,2021
120000.0,4,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",Employed full-time,2021
80760.0,6,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
107000.0,8,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
81074.0,6,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator",Employed full-time,2021
95520.0,,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, back-end",Employed full-time,2021
6456.0,5,Brazil,Some college/university study without earning a degree,"Developer, full-stack",Employed full-time,2021
90632.0,10,Norway,"Other doctoral degree (Ph.D., Ed.D., etc.)",Academic researcher,Employed full-time,2021
80936.0,11,Japan,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,Employed full-time,2021
69183.0,13,Germany,Some college/university study without earning a degree,"Developer, full-stack;System administrator",Employed full-time,2021
98500.0,11,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist",Employed full-time,2021
30000.0,10,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
72000.0,17,Belarus,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Data or business analyst",Employed full-time,2021
45404.0,11,Taiwan,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Database administrator;DevOps specialist",Employed full-time,2021
